GroupId,GroupName,GroupDescription,ID,Shortname,LongName,Description
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5137,CLSELF,Cic_Layer_Shelf_Edge_Left_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5138,CLSER,Cic_Layer_Shelf_Edge_Right,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5139,CLSERF,Cic_Layer_Shelf_Edge_Right_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5140,CLSEFR,Cic_Layer_Shelf_Edge_FRont,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5141,CLSEB,Cic_Layer_Shelf_Edge_Back,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5142,CLSEBF,Cic_Layer_Shelf_Edge_Back_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5143,CLDE,Cic_Layer_Divider_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5144,CLDEF,Cic_Layer_Divider_Exterior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5145,CLDI,Cic_Layer_Divider_Interior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5146,CLDIF,Cic_Layer_Divider_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5147,CLDEL,Cic_Layer_Divider_Edge_Left,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5148,CLDELF,Cic_Layer_Divider_Edge_Left_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5149,CLDER,Cic_Layer_Divider_Edge_Right,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5150,CLDERF,Cic_Layer_Divider_Edge_Right_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5151,CLDEFR,Cic_Layer_Divider_Edge_FRont,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5152,CLDEFF,Cic_Layer_Divider_Edge_Front_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5153,CLDEB,Cic_Layer_Divider_Edge_Back,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5154,CLDEBF,Cic_Layer_Divider_Edge_Back_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5155,CLPE,Cic_Layer_Panel_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5156,CLPEF,Cic_Layer_Panel_Exterior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5157,CLPI,Cic_Layer_Panel_Interior,Used in 2020 Design Database for CiC
